UF,UF,MUNICÍPIO,CNPJ,FARMÁCIA,ENDEREÇO,BAIRRO,Data do Credenciamento
PR,4118402,PARANAVAI,10.931.995/0001-68,FARMACIA HARADA DEMIZU LTDA," RUA MANOEL RIBAS, 2365  ",JARDIM OURO BRANCO,15/12/2010
PR,4118402,PARANAVAI,12.193.416/0001-52,FPB PARANAVAI 2 COMERCIO DE MEDICAMENTOS LTDA," AVENIDA PERNAMBUCO, 926 - FARMACIA   ",CENTRO,20/12/2012
PR,4118402,PARANAVAI,13.428.520/0001-41,FARMACIA BOM JESUS II LTDA," AVENIDA SINEVAL FORTES, 147, LOJA  ",JARDIM IPE,20/09/2012
PR,4118402,PARANAVAI,13.604.570/0001-32,FARMACIA P. P. MORAIS LTDA, AVENIDA DISTRITO FEDERAL 1005 SALA 05 PAVIMENTO SUBSOLO  ,CENTRO,12/09/2013
PR,4118402,PARANAVAI,15.080.020/0001-97,DEMIZU & CIA LTDA, MARTIN LUTHER KING  ,VILA OPERARIA,21/12/2012
PR,4118402,PARANAVAI,17.306.027/0001-00,B D GUELFI MEDICAMENTOS LTDA," AV MILITAO RODRIGUES DE CARVALHO, 1200  ", SUMARE ,03/11/2014
PR,4118402,PARANAVAI,20.716.217/0001-00,DROGARIA CAIUA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA," RUA PERNAMBUCO, 926   ",CENTRO,28/05/2015
PR,4118402,PARANAVAI,33.438.250/0444-58,DROGARIAS PACHECO S/A, AV PARANA 863  ,CENTRO,07/10/2014
PR,4118402,PARANAVAI,61.585.865/0923-31,RAIA DROGASIL S/A," RUA GETULIO VARGAS, 1245 - 1235 E 1239  ",CENTRO,13/08/2013
PR,4118402,PARANAVAI,68.851.872/0001-05,UNIVERSALI PRODUTOS FARMACEUTICOS LTDA," R ANTONIO FELIPE, 1755  ",JARDIM OURO BRANCO,04/07/2011
PR,4118402,PARANAVAI,73.738.551/0001-20,C. F. COMERCIO DE PRODUTOS FARMACEUTICOS LTDA," AV DEP HEITOR A FURTADO, 2690  ",JD.SAO JORGE,30/12/2013
PR,4118402,PARANAVAI,79.430.682/0208-24,FARMACIA E DROGARIA NISSEI S.A," RUA GETULIO VARGAS, 1199  ",CENTRO,27/12/2012
PR,4118402,PARANAVAI,79.430.682/0225-25,FARMACIA E DROGARIA NISSEI S.A," RUA PERNAMBUCO, 943 943 ",CENTRO,27/12/2012
PR,4118402,PARANAVAI,79.723.912/0001-41,DROGARIA CENTRAL LTDA, R SOUZA NAVES ESQ C\AV PARANA 1501 esquina  ,CENTRO,09/10/2013
PR,4118402,PARANAVAI,84.683.481/0356-39,CIA LATINO AMERICANA DE MEDICAMENTOS," RUA SOUZA NAVES, 1532  ",CENTRO,29/04/2014
PR,4118402,PARANAVAI,95.373.460/0001-71,FARMACIA RESPLENDOR LTDA, DEP. HEITOR ALENCAR FURTADO  ,JARDIM SANTOS DUMONT,03/03/2009
PR,4118402,PARANAVAI,97.549.893/0001-60,S.A.B. PRODUTOS FARMACEUTICOS LTDA, DOMINGOS SANCHES  ,PARQUE MORUMBI,01/09/2014
PR,4118451,PATO BRAGADO,01.320.015/0001-08,MAINERI & CIA LTDA," AV. WILLY BARTH, 2658, SALA 01  ",CENTRO,04/07/2011
PR,4118451,PATO BRAGADO,01.615.342/0001-89,FARMACIA DASSOLER LTDA," AV CONTINENTAL, 866  ",CENTRO,09/10/2013
PR,4118501,PATO BRANCO,01.628.859/0001-02,FARMACIA SCHWAMABACH LTDA, TAPAJOS  ,CENTRO,12/05/2015
PR,4118501,PATO BRANCO,01.756.359/0001-56,FLAVIMED COMERCIO DE MEDICAMENTOS LTDA," RUA CARAMURU, 443, ESQUINA COM IGUAÇU   ",CENTRO,27/07/2010
PR,4118501,PATO BRANCO,01.875.428/0001-40,SALUTE - COMERCIO DE MEDICAMENTOS LTDA, RUA PARANA Nº 301  ,BAIXADA,21/11/2006
PR,4118501,PATO BRANCO,01.875.428/0002-21,SALUTE - COMERCIO DE MEDICAMENTOS LTDA," RUA PROCOPIO DE LIMA, 460  ",TREVO DA GUARANI,06/05/2011
PR,4118501,PATO BRANCO,01.875.428/0003-02,SALUTE - COMERCIO DE MEDICAMENTOS LTDA," AVENIDA TUPI, 5134  ",PINHEIRINHO,06/05/2011
PR,4118501,PATO BRANCO,01.875.428/0004-93,SALUTE - COMERCIO DE MEDICAMENTOS LTDA," RUA GUARANI, 167  ",CENTRO,21/09/2011
PR,4118501,PATO BRANCO,01.875.428/0005-74,SALUTE - COMERCIO DE MEDICAMENTOS LTDA," AVENIDA TUPI, 4971 - anexo ao ponto quente  ",PINHEIRINHO,18/11/2013
PR,4118501,PATO BRANCO,04.303.416/0001-30,L D NANDI COMERCIO DE PRODUTOS FARMACEUTICOS LTDA," TOCANTINS, 2320  ",CENTRO,20/08/2010
PR,4118501,PATO BRANCO,04.592.863/0001-56,KACHUKI & CIA LTDA, ITACOLOMI 620  ,CENTRO,18/02/2008
PR,4118501,PATO BRANCO,07.841.765/0001-01,FARMACIA VIVER COMERCIO FARMACEUTICO LTDA," AV BRASIL,446 ANEXO EDIFICIO MAXSAUDE  ",CENTRO,26/04/2011
PR,4118501,PATO BRANCO,09.316.636/0001-11,IRMAOS GUZZO COMERCIO DE PRODUTOS FARMACEUTICOS LTDA, ALFREDO CHAVES 489 SALA  02,CENTRO,16/07/2010
PR,4118501,PATO BRANCO,09.597.446/0001-10,FARMACIAS BRAVA LTDA," RUA ITACOLOMI, 895  ",CENTRO,15/09/2009
PR,4118501,PATO BRANCO,09.597.446/0003-81,FARMACIAS BRAVA LTDA," RUA TOCANTINS, Nº 2306  ",CENTRO,31/12/2013
PR,4118501,PATO BRANCO,61.585.865/1053-36,RAIA DROGASIL S/A," R. IGUACU, Nº 605  ",CENTRO,31/12/2013
PR,4118501,PATO BRANCO,77.131.134/0001-76,AC COMERCIO DE MEDICAMENTOS LTDA," RUA TOCANTINS, TERREO, 2354  ",CENTRO,08/12/2010
PR,4118501,PATO BRANCO,77.739.712/0001-51,HERMES MIGUEL BUSATTO & CIA LTDA," GUARANI, 489  ",CENTRO,01/03/2010
PR,4118501,PATO BRANCO,77.884.559/0018-02,TRAJANO & CIA LTDA, RUA MOACIR DE JESUS MARTINS 130 LOJA 01 1588 ESQ RUA MATO GROSSO,AEROPORTO ,17/04/2006
PR,4118501,PATO BRANCO,79.430.682/0210-49,FARMACIA E DROGARIA NISSEI S.A," AVENIDA TUPI, 2.479  ",CENTRO,27/12/2012
PR,4118501,PATO BRANCO,84.683.481/0156-03,CIA LATINO AMERICANA DE MEDICAMENTOS," RUA GUARANI, 302  ",CENTRO,06/05/2011
PR,4118501,PATO BRANCO,84.683.481/0256-76,CIA LATINO AMERICANA DE MEDICAMENTOS," RUA PEDRO RAMIRES DE MELLO, 292  ",CENTRO,06/11/2013
PR,4118501,PATO BRANCO,84.841.618/0001-74,RAVAZIO E JACOBO LTDA, DAS GARCAS  ,PLANALTO,31/10/2012
PR,4118600,PAULA FREITAS,06.068.255/0001-72,CLODOALDO FERRAZ," AVENIDA AGOSTINHO DE SOUZA, Nº 780  ",CENTRO,30/12/2009
PR,4118808,PEABIRU,07.860.504/0001-20,J M DELFES," AV CURITIBA, 852  ",CENTRO,20/09/2012
PR,4118808,PEABIRU,09.147.132/0001-15,FARMACIA MINI PRECO DE PEABIRU LTDA," AVENIDA VILA RICA, 37  ",CENTRO,20/12/2013
PR,4118808,PEABIRU,09.148.497/0001-64,FABRICIO VITTI E CIA LTDA," RAPOSO TAVARES, Nº 941  ",CENTRO,02/10/2009
PR,4118808,PEABIRU,78.422.441/0001-79,DROGAULTRA LTDA," AVENIDA VILA RICA, Nº 178  ",CENTRO,06/12/2013
PR,4118808,PEABIRU,78.767.803/0001-63,AVANCO E SAMBUGARO LTDA," AVENIDA RAPOSO TAVARES, 894  ",CENTRO,10/01/2011
PR,4118857,PEROBAL,04.725.965/0001-00,PRADELLA & COLOMBARI LTDA, AV PARANA 951  ,CENTRO,14/12/2012
PR,4118907,PEROLA,04.987.092/0001-04,U S CARBONERA & CIA LTDA, PEROLA BYINGTON  ,CENTRO,04/04/2008
PR,4118907,PEROLA,08.311.504/0001-34,ANDERSON A. G. BANHEZA - FARMACIA, AVENIDA DNA PEROLA BYINGTON 843  ,CENTRO,21/12/2012
PR,4118907,PEROLA,15.356.270/0001-07,M A FERREIRA FARMACIA," AV DONA PEROLA BYINGTON, 1388  ",CENTRO,30/12/2013
PR,4118907,PEROLA,15.576.089/0001-06,DANIELA DE ALMEIDA FANTIM," COMERCIAL CELSO RAMOS, 90- CONDOMINIO OPPNUS  ",CENTRO,09/07/2014
PR,4118907,PEROLA,79.128.708/0001-82,FUENTES & CIA LTDA," AV. PEROLA BYINGTON, 1004, ESQUINA  ",CENTRO,04/07/2011
PR,4118907,PEROLA,80.595.788/0001-65,FARMACIA E DROGARIA CENTRAL LTDA," PC ZEQUINHA DE ABREU, 274  ",CENTRO,15/04/2015
PR,4119004,PEROLA D'OESTE,09.452.422/0001-72,DOUGLAS FAQUINELO & CIA LTDA," AV BRASIL, 703  ",CENTRO,27/07/2010
PR,4119004,PEROLA D'OESTE,77.831.444/0001-01,FARMACIA ALBUQUERQUE E ALBUQUERQUE LTDA," RUA PIO XII, Nº 678 TERREO  ",CENTRO,01/07/2010
PR,4119103,PIEN,06.161.884/0001-42,FARMED PIEN MEDICAMENTOS LTDA, AV PARANA 83 SALA 01   ,CENTRO ,22/11/2013
PR,4119103,PIEN,10.482.379/0001-77,ADR FARMA PRODUTOS FARMACEUTICOS LTDA," AVENIDA BRASIL, 237 - LOJA 01  ",CENTRO,25/08/2010
PR,4119103,PIEN,20.274.682/0001-38,STRACKE & OLIVEIRA LTDA," AVENIDA BRASIL, 214 - SALA 02  ",CENTRO,12/06/2015
PR,4119152,PINHAIS,00.751.089/0051-97,COMERCIO DE MEDICAMENTOS MAEOKA LTDA., BARAO DO CERRO AZUL 1805 ,CENTRO,12/09/2013
PR,4119152,PINHAIS,01.248.127/0001-97,FARMACIA I P FARMA LTDA, AV IRAI 1310  ,CENTRO,20/12/2012
PR,4119152,PINHAIS,02.624.442/0001-34,FARMACOLL COMERCIO DE MEDICAMENTOS LTDA," R RIO SOLIMOES, 987  ",JD WEISSOPOLIS,21/12/2012
PR,4119152,PINHAIS,04.073.641/0001-27,SUZUKI & GUIMARAES LTDA," ARISTIDES DE OLIVEIRA, 642, loja 02  ",JARDIM ATUBA I ,05/05/2010
PR,4119152,PINHAIS,07.297.966/0002-62,FARMACIA KALUG LTDA," RUA JACOB MACANHAN, 468 - SALA 2  ",PINEVILLE,13/08/2013
PR,4119152,PINHAIS,09.197.998/0001-30,ALPHAFARMA PRODUTOS FARMACEUTICOS LTDA, DA GRACIOSA 3167 ,MAUA,09/12/2014
PR,4119152,PINHAIS,11.331.797/0002-07,FARMACIA E DROGARIA RAMOS E FROZZA LTDA," RUA MARIA ANTONIETA DOS SANTOS, 38  ",MARIA ANTONIETA,16/09/2013
PR,4119152,PINHAIS,12.044.700/0001-67,G.B.STRAPASSON & CIA LTDA, IRAI 916 LOJA  2,WEISSOPOLIS,05/05/2014
PR,4119152,PINHAIS,12.044.700/0002-48,G.B.STRAPASSON & CIA LTDA, CASIMIRO DE ABREU 40 ,VARGEM GRANDE,05/05/2014
PR,4119152,PINHAIS,12.044.700/0003-29,G.B.STRAPASSON & CIA LTDA, AV MARIA ANTONIETA DOS SANTOS 365 TERREO  ,VILA MARIA ANTONIETA,19/05/2015
PR,4119152,PINHAIS,12.302.511/0001-47,FURLANI COMERCIO DE MEDICAMENTOS LTDA, JACOB MACANHAN  ,PINEVILLE,11/10/2013
PR,4119152,PINHAIS,15.612.605/0001-00,COMERCIAL DE MEDICAMENTOS E PERFUMARIA PINHAIS LTDA, AVENIDA JACOB MACANHAN 1092  ,PINEVILLE,20/12/2012
PR,4119152,PINHAIS,17.391.978/0001-24,FRC COMERCIO DE PRODUTOS FARMACEUTICOS LTDA, R RIO PARANAPANEMA 689  ,WEISSPOLIS,30/12/2013
PR,4119152,PINHAIS,17.746.663/0001-52,FARMACIA DOTA LTDA, ANTONIO DE ANDRADE  ,MARIA ANTONIETA,09/07/2014
PR,4119152,PINHAIS,33.438.250/0465-82,DROGARIAS PACHECO S/A, RUA JANDAIA DO SUL 1110  ,EMILIANO PERNETA,29/08/2014
PR,4119152,PINHAIS,79.430.682/0033-00,FARMACIA E DROGARIA NISSEI S.A," AVENIDA SÃO LEOPOLDO JACOMEL, Nº 12485  ",CENTRO ,18/02/2008
PR,4119152,PINHAIS,79.430.682/0057-87,FARMACIA E DROGARIA NISSEI S.A," RUA JACOB MACANHAN, Nº 237  ",CENTRO,18/02/2008
PR,4119152,PINHAIS,79.430.682/0067-59,FARMACIA E DROGARIA NISSEI S.A," AVENIDA CAMILO DI LELLIS, N°610  ",CENTRO ,18/02/2008
PR,4119152,PINHAIS,79.430.682/0226-06,FARMACIA E DROGARIA NISSEI S.A," RUA CASIMIRO DE ABREU, 40  ",VARGEM GRANDE,27/12/2012
PR,4119152,PINHAIS,82.337.981/0001-21,JAMIR MONTEIRO & CIA LTDA," ROD DEPUTADO JOAO LEOPOLDO JACOMEL, 11.109, LOJAS   ",VILA ALFREDO,02/03/2010
PR,4119152,PINHAIS,84.683.481/0275-39,CIA LATINO AMERICANA DE MEDICAMENTOS, Avenida CAMILO DI LELLIS 551 Loja A  ,CENTRO,31/12/2013
PR,4119202,PINHALAO,07.182.432/0001-00,FARMACIA VITA FARMA LTDA., RUI BARBOSA  ,CENTRO,17/04/2009
PR,4119202,PINHALAO,07.738.309/0001-22,CHAVES & CARVALHO LTDA," AV GERALDO VIEIRA, 198 - SALA   ",CENTRO,09/10/2013
PR,4119202,PINHALAO,15.354.708/0001-18,GAIA & CAMARGO LTDA, AV PREFEITO MOACIR COSTA  ,CENTRO,09/12/2014
PR,4119202,PINHALAO,16.995.919/0001-00,B G SCHULZ, rua GERALDO VIEIRA 100X  ,CENTRO,09/10/2013
PR,4119301,PINHAO,10.356.182/0001-91,LAVORENTE ZIVIANI & CIA LTDA, RUA JOAO FERREIRA DA SILVA S/N  ,CENTRO,26/04/2011
PR,4119301,PINHAO,12.573.137/0001-14,FARMACIA OSHIRO LTDA," AVENIDA TRIFON HANYCZ, 18  ",CENTRO,12/04/2011
PR,4119301,PINHAO,17.497.841/0001-59,RBGB FARMACIA LTDA," AVENIDA TRIFON HANYCZS, Nº 129 - SALA COMERCIAL  ",CENTRO,21/07/2014
PR,4119301,PINHAO,82.436.205/0001-89,JACIR THADEU FERREIRA DELLE, RUA XV DE DEZEMBRO Nº239  ,CENTRO,05/04/2007
PR,4119301,PINHAO,82.436.205/0002-60,JACIR THADEU FERREIRA DELLE," RUA FRANCISCO DELLE, 19, SALA 01  ",CENTRO,02/09/2010
PR,4119400,PIRAI DO SUL,00.330.330/0001-45,FARMABROTAS FARMACIA LTDA," Rua CINCO DE MARCO, 349  ",CENTRO,04/07/2011
PR,4119400,PIRAI DO SUL,01.614.028/0001-81,FARMACIA FARMADRY LTDA," AV CINCO DE MARCO, 444 - SALA COMERCIAL  ",CENTRO,23/10/2013
PR,4119400,PIRAI DO SUL,09.354.351/0001-75,EL ACHKAR FARMACIA LTDA," RUA XV DE NOVEMBRO, 99   ",CENTRO,22/11/2013
PR,4119400,PIRAI DO SUL,15.176.994/0001-79,LEONARDO VARGAS DE AZEVEDO FARMACIA," AVENIDA CINCO DE MARCO, 585  ",CENTRO,25/02/2015
PR,4119400,PIRAI DO SUL,19.138.475/0001-77,FARMACIA BJ LTDA, CINCO DE MARCO  ,CENTRO,19/02/2015
PR,4119400,PIRAI DO SUL,72.075.187/0001-01,FARMACIA N. S. DAS BROTAS LTDA, AV BERNARDO B MILLEO   ,CENTRO,06/12/2013
PR,4119509,PIRAQUARA,06.198.424/0001-99,JUCILAINE SOUZA MACEDO FARMACIA SANTA BARBARA, JURI DANILENKO 2560 ,PLANTA SANTA LUCIA,06/10/2010
PR,4119509,PIRAQUARA,09.328.839/0001-28,TAO SILVA FARMACIA E DROGARIA LTDA, AV GETULIO VARGAS 1518  ,CENTRO,30/12/2013
PR,4119509,PIRAQUARA,10.302.127/0003-80,FARMACIA IRMAOS PAVESI LTDA., GETULIO VARGAS 767 ,CENTRO,25/08/2011
PR,4119509,PIRAQUARA,12.044.700/0005-90,G.B.STRAPASSON & CIA LTDA, BETONEX  ,GUARITUBA,26/08/2014
PR,4119509,PIRAQUARA,17.183.073/0001-69,FARMACIA C.S. LTDA, RUA JURI DANILENKO 103  ,SANTA LUCIA,26/09/2014
PR,4119509,PIRAQUARA,76.468.099/0001-12,FARMACIA FARMAGIL LTDA, HARRY FEEKEN 1340 LOJA  01 E 02,BONECA DO IGUACU,18/08/2009
PR,4119509,PIRAQUARA,79.430.682/0192-22,FARMACIA E DROGARIA NISSEI S.A," RUA ADELIO GOMES DE AGUIAR, 144  ",JARDIM BOM JESUS DOS PASSOS,27/12/2012
PR,4119509,PIRAQUARA,95.421.830/0001-07,FARMACIA MELISSA LTDA," AVENIDA GETULIO VARGAS, 296  ",CENTRO,25/08/2011
PR,4119608,PITANGA,04.886.013/0001-60,PITANGA COMERCIO DE MEDICAMENTOS LTDA, MAXIMILIANO VICENTIN 333 ,CENTRO,16/06/2015
PR,4119608,PITANGA,07.564.304/0001-20,FARMA ONNIX LTDA, EBANO PEREIRA  ,CENTRO,05/08/2011
PR,4119608,PITANGA,09.643.217/0001-94,CARLOS CAMPOS CENTRO DE NEGOCIOS LTDA, SALGADO FILHO 3952 ,CENTRO,30/12/2013
PR,4119608,PITANGA,11.193.755/0001-76,JAQUELINE RICHTER CAMARGO," AV BRASIL, 580  ",CENTRO,25/10/2013
PR,4119608,PITANGA,14.456.095/0001-67,KOVALCZUK & KOVALCZUK LTDA, RUI BARBOSA 645 ,CENTRO,29/04/2014
PR,4119608,PITANGA,76.763.689/0001-78,FARMACIA HIROSE LTDA," AV INTER MANOEL RIBAS, 111, SALA  ",CENTRO,31/08/2010
PR,4119608,PITANGA,81.680.845/0001-77,DROGARIA IRMAOS DARCIN LTDA," AVENIDA PRESIDENTE GETULIO VARGAS, Nº 781  ",PITANGUINHA,30/12/2013
PR,4119608,PITANGA,84.932.979/0003-98,BONA FARMA LTDA," RUA VISCONDE DE GUARAPUAVA, 65  ",CENTRO,20/10/2010
PR,4119608,PITANGA,95.391.744/0001-90,DELGRIFARMA MEDICAMENTOS E PERFUMARIA LTDA," VISCONDE DE GUARAPUAVA, 251  ",CENTRO,02/10/2009
PR,4119608,PITANGA,95.440.277/0001-41,PAULO CASTILHO & CIA LTDA," PRESIDENTE VARGAS , 136  ",CENTRO,14/06/2010
PR,4119657,PITANGUEIRAS,81.668.147/0001-56,FARMACIA CAROL LTDA," CENTRAL, Nº 464  ",CENTRO,12/01/2010
PR,4119707,PLANALTINA DO PARANA,08.109.695/0001-56,MIYOSHI & MIYOSHI LTDA," AVENIDA PARANA, 253  ",CENTRO,06/09/2011
PR,4119806,PLANALTO,00.305.886/0001-81,LUCIETTO E BUENO LTDA," COMERCIO RIO GRANDE DO SUL, Nº 1068  ",CENTRO,23/07/2007
PR,4119806,PLANALTO,78.721.156/0001-59,FARMACIA VIAN LTDA," RIO GRANDE DO SUL, 1115  ",CENTRO,02/10/2009
PR,4119806,PLANALTO,79.056.214/0001-30,FARMACIA LUCIETTO LTDA," AV RIO GRANDE DO SUL, 977  ",CENTRO,25/08/2010
PR,4119806,PLANALTO,79.455.937/0001-01,FARMACIA FOLLMANN LTDA," RIO GRANDE DO SUL, Nº 1063 SALA 01  ",CENTRO,25/01/2010
PR,4119905,PONTA GROSSA,00.072.177/0001-01,FARMACIA LUZ & COR LTDA," RUA AFONSO CELSO, 1360 - CASA  ",UVARANAS,22/08/2011
PR,4119905,PONTA GROSSA,00.127.650/0001-00,FARMACIA SERVFARMA LTDA, FRANCISCO OTAVIANO  ,PALMEIRINHA,20/09/2012
PR,4119905,PONTA GROSSA,00.403.349/0001-74,FARMACIA DA ECONOMIA LTDA, CORONEL CLAUDIO  ,CENTRO,05/08/2011
PR,4119905,PONTA GROSSA,00.478.880/0001-06,Q. MONTEIRO LTDA, R GAL CARLOS CAVALCANTI 2324 SALA B  ,UVARANAS,20/12/2012
PR,4119905,PONTA GROSSA,01.427.496/0001-47,MARIANGELA BAPTISTA GOMES & CIA LTDA, AVENIDA CONGONHAS 173  ,SANTA LUZIA,09/09/2014
PR,4119905,PONTA GROSSA,04.256.860/0001-41,FARMACIA TOZETTO LTDA," RUA D PEDRO II, 1161  ",NOVA RUSSIA,06/05/2011
PR,4119905,PONTA GROSSA,04.655.089/0001-85,PRIOTTO E MIKI LTDA, RUA CORONEL CLAUDIO 06  ,CENTRO,29/08/2014
PR,4119905,PONTA GROSSA,06.093.544/0001-21,MARCO ELIAS FERRI & CIA LTDA, PREFEITO FULTON V. B . DE MACEDO  ,JARDIM CONCEIÇÃO,04/07/2006
PR,4119905,PONTA GROSSA,06.962.601/0001-61,AFRIMED MEDICAMENTOS LTDA," RUA JOAO BATISTA FRANCA E SILVA, 1800  ",BOA VISTA,31/10/2012
PR,4119905,PONTA GROSSA,07.461.416/0001-56,VINICIUS ANGELO JECZMIONSKI," WASHINGTON LUIZ, 412, VILA 31 DE MARCO  ",NEVES,06/07/2009
PR,4119905,PONTA GROSSA,07.507.952/0001-45,SANTOS & MARINS LTDA," RUA MARACANA, 222  ",COLONIA DONA LUIZA,20/10/2010
PR,4119905,PONTA GROSSA,07.523.425/0001-24,FARMA FONE COMERCIO DE MEDICAMENTOS LTDA," RUA JULIA WANDERLEY, 1045 - SALA COMERCIAL 01   ",CENTRO,04/07/2011
PR,4119905,PONTA GROSSA,08.011.373/0003-31,CALLFARMA COMERCIO DE MEDICAMENTOS LTDA," RUA FERNANDES PINHEIRO, 326  ",CENTRO,06/09/2011
PR,4119905,PONTA GROSSA,08.011.373/0007-65,CALLFARMA COMERCIO DE MEDICAMENTOS LTDA," AVENIDA DOM PEDRO II, 280  ",NOVA RUSSIA,19/02/2015
PR,4119905,PONTA GROSSA,08.011.373/0011-41,CALLFARMA COMERCIO DE MEDICAMENTOS LTDA," AVENIDA GENERAL CARLOS CAVALCANTI, 1314  ",UVARANAS,14/10/2014
PR,4119905,PONTA GROSSA,08.405.212/0001-60,NASCIMENTO & TELEGINSKI LTDA," R. DR. FRANCO GRILLO, 200, SALA 02  ",COLONIA DONA LUIZA,04/07/2011
PR,4119905,PONTA GROSSA,10.359.335/0001-54,GFC COMERCIO DE PRODUTOS FARMACEUTICOS LTDA," AVENIDA SOUZA NAVES, 2591 - SALA  ",SABARA,31/10/2012
PR,4119905,PONTA GROSSA,10.664.095/0001-00,FARMACIA XAVIER LTDA.," AVENIDA GENERAL CARLOS CAVALCANTI, 853 - LOJA 1  ",UVARANAS ,21/12/2012
PR,4119905,PONTA GROSSA,10.769.103/0001-74,COMERCIAL DE MEDICAMENTOS E PERFUMARIA ROSA DE SARON LTDA," AVENIDA JOAO MANOEL DOS SANTOS RIBAS, 555  ",NOVA RUSSIA,16/07/2010
PR,4119905,PONTA GROSSA,11.865.504/0001-90,EAMB MANIPULACOES LTDA," RUA CORONEL DULCIDIO, 1449  ",CENTRO,21/07/2014
PR,4119905,PONTA GROSSA,11.916.650/0001-06,FARMACIA SANTOLAIA LTDA," AVENIDA VISCONDE DE MAUA, Nº 1.671  ",OFICINAS,31/08/2010
PR,4119905,PONTA GROSSA,12.149.301/0001-60,FARMACIA SAO JOAO DAMASCENUS LTDA," AVENIDAGENEAL CARLOS CAVALCANTI,3833  ",UVARANAS,04/07/2011
PR,4119905,PONTA GROSSA,12.862.364/0001-60,ADR PRODUTOS FARMACEUTICOS LTDA," AVENIDA VISCONDE DE MAUA, 2130  ",OFICINAS,31/10/2012
PR,4119905,PONTA GROSSA,12.862.364/0002-40,ADR PRODUTOS FARMACEUTICOS LTDA," RUA DOUTOR LAUDELINO GONCALVES, 300  ",CHAPADA,31/10/2012
PR,4119905,PONTA GROSSA,12.862.364/0004-02,ADR PRODUTOS FARMACEUTICOS LTDA," RUA BALTAZAR LISBOA, 307  ",RONDA,31/12/2013
PR,4119905,PONTA GROSSA,12.862.364/0006-74,ADR PRODUTOS FARMACEUTICOS LTDA," RUA QUATORZE BIS, 240  ",CARA-CARA,31/12/2013
PR,4119905,PONTA GROSSA,14.766.969/0001-82,JECZMIONSKI & GORTE LTDA," RUA NICOLAU KLUPPEL NETTO, 1256 - SALA B  ",SANTA PAULA ,21/12/2012
PR,4119905,PONTA GROSSA,14.930.745/0001-64,GIOVANNI MARCELO LANDIOSO," COMERCIAL D.PEDRO II, 752 - LOJA  ",NOVA RUSSIA,16/09/2013
PR,4119905,PONTA GROSSA,15.111.249/0001-41,AQUINO & POSTIGLIONI LTDA," R QUINZE DE NOVEMBRO, 405  ",CENTRO,05/09/2014
PR,4119905,PONTA GROSSA,15.740.782/0001-72,RODRIGO ALBERTI," Rua PADRE FRANCISCO BIRMANN, 05  ",CARA-CARA,21/11/2014
PR,4119905,PONTA GROSSA,17.443.575/0001-81,CARLOS R. S. CARNEIRO FARMACIA LTDA., BENTO RIBEIRO  ,NOVA RUSSIA,26/02/2015
PR,4119905,PONTA GROSSA,18.076.152/0001-33,FARMACIA PREV PONTA LTDA, RUA NICOLAU KLUPPEL NETO 1902  ,CONTORNO,20/12/2013
PR,4119905,PONTA GROSSA,18.294.880/0001-11,TIAGO OLIVEIRA TALLAR, VEREADOR JOAO ABRAAO MAIA  ,UVARANAS,16/09/2014
PR,4119905,PONTA GROSSA,18.337.391/0001-08,ALE PRODUTOS FARMACEUTICOS LTDA," RUA JOAO MANOEL DOS SANTOS RIBAS, 1089  ",NOVA RUSSIA,08/05/2014
PR,4119905,PONTA GROSSA,18.977.822/0001-92,F F FARMACIA LTDA, MANOEL RIBAS 3363 ,COSTEIRA,11/12/2014
PR,4119905,PONTA GROSSA,33.438.250/0452-68,DROGARIAS PACHECO S/A, SAN MARTIN 180 LOJA  03,SANTA LUCIA,16/09/2014
PR,4119905,PONTA GROSSA,33.438.250/0453-49,DROGARIAS PACHECO S/A, AV DOM PEDRO II 165 169   ,NOVA RUSSIA,07/10/2014
PR,4119905,PONTA GROSSA,61.412.110/0641-29,DROGARIA SAO PAULO S.A., DOM PEDRO II  ,NOVA RUSSIA,23/06/2015
PR,4119905,PONTA GROSSA,61.585.865/0903-98,RAIA DROGASIL S/A," AV DOUTOR VICENTE MACHADO, 603 E 611  ",CENTRO,18/11/2013
PR,4119905,PONTA GROSSA,61.585.865/0968-33,RAIA DROGASIL S/A," RUA DOUTOR PENTEADO DE ALMEIDA, 116  ",CENTRO,31/12/2013
PR,4119905,PONTA GROSSA,61.585.865/0969-14,RAIA DROGASIL S/A," R BALDUINO TAQUES, 520  ",CENTRO,18/11/2013
PR,4119905,PONTA GROSSA,72.189.236/0001-29,NADAL & SOUZA LTDA," RUA CONSELHEIRO BARRADAS, 476 - LOJA   ",CENTRO,12/05/2015
PR,4119905,PONTA GROSSA,76.468.131/0001-60,FARMACIA KARINA LTDA," RUA NICOLAU K NETTO, 1043 - SALA  ",SANTA PAULA,25/02/2015
PR,4119905,PONTA GROSSA,78.939.253/0001-12,DROGARIA BUFON DE ALMEIDA LTDA, FRANCISCO OTAVIANO  ,MADUREIRA,30/09/2013
PR,4119905,PONTA GROSSA,79.430.682/0035-71,FARMACIA E DROGARIA NISSEI S.A," RUA ERMELINO DE LEAO, 703, LJ T 54/55/56  ",CENTRO,25/01/2011
PR,4119905,PONTA GROSSA,79.430.682/0040-39,FARMACIA E DROGARIA NISSEI S.A," RUA BARAO DE GUARAUNA, 79  ",CENTRO,02/09/2010
